Allocated = srcs/stringstream/ss_create.c, 20, ss_create, 0x603000005830[24]
Allocated = srcs/common/ft_strdup.c, 21, ft_strdup, 0x602000000150[1]
Allocated = srcs/common/ft_strjoin.c, 21, ft_strjoin, 0x603000005860[19]
Freed = srcs/stringstream/ss_append_to_str.c, 33, ss_append, 0x602000000150
Allocated = srcs/common/ft_strjoin.c, 21, ft_strjoin, 0x603000005890[19]
Freed = srcs/stringstream/ss_append_to_str.c, 33, ss_append, 0x603000005860
Allocated = srcs/raw_map/ft_generate_raw_map.c, 34, generate_map, 0x604000001a50[40]
Allocated = srcs/common/ft_substr.c, 27, ft_substr, 0x602000000170[6]
Allocated = srcs/common/ft_substr.c, 27, ft_substr, 0x602000000190[6]
Allocated = srcs/common/ft_substr.c, 27, ft_substr, 0x6020000001b0[6]
Freed = srcs/stringstream/ss_destory.c, 21, ss_destroy, 0x603000005890
Freed = srcs/stringstream/ss_destory.c, 22, ss_destroy, 0x603000005830
Allocated = srcs/raw_map/ft_has_invalid_pathway.c, 52, flood_fill_with_x, 0x60c0000022c0[120]
Freed = srcs/raw_map/ft_has_invalid_pathway.c, 61, flood_fill_with_x, 0x60c0000022c0
Freed = srcs/utils/ft_free_2d.c, 23, ft_free_2d, 0x602000000170
Freed = srcs/utils/ft_free_2d.c, 23, ft_free_2d, 0x602000000190
Freed = srcs/utils/ft_free_2d.c, 23, ft_free_2d, 0x6020000001b0
Freed = srcs/utils/ft_free_2d.c, 26, ft_free_2d, 0x604000001a50
Allocated = srcs/utils/ft_calloc.c, 23, ft_calloc, 0x607000000aa0[80]
Allocated = srcs/utils/ft_calloc.c, 23, ft_calloc, 0x61700000fc80[704]
Allocated = srcs/utils/ft_calloc.c, 23, ft_calloc, 0x60300001bc40[32]
Allocated = srcs/utils/ft_calloc.c, 23, ft_calloc, 0x60300001bc70[32]
Allocated = srcs/utils/ft_calloc.c, 23, ft_calloc, 0x60300001bca0[32]
Allocated = srcs/utils/ft_calloc.c, 23, ft_calloc, 0x60300001bcd0[32]
Allocated = srcs/utils/ft_calloc.c, 23, ft_calloc, 0x60300001bd00[32]
Allocated = srcs/t_image/ft_read_xpm.c, 28, ft_read_xpm, 0x60400002d650[48]
Allocated = srcs/utils/ft_list.c, 19, new_node, 0x602000008530[16]
Allocated = srcs/sprite/ft_generate_sprites_array.c, 65, ft_generate_sprites_array_grid, 0x60c000023b00[120]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001be50[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001be80[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001beb0[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001bee0[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001bf10[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001bf40[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001bf70[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001bfa0[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001bfd0[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001c000[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001c030[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001c060[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001c090[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001c0c0[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001c0f0[24]
Allocated = srcs/sprite/ft_init_animated_sprite.c, 22, ft_init_animated_sprite, 0x60300001c120[24]
Allocated = srcs/utils/ft_list.c, 19, new_node, 0x602000008550[16]
Allocated = srcs/utils/ft_calloc.c, 23, ft_calloc, 0x60300001c150[32]
Allocated = srcs/utils/ft_calloc.c, 23, ft_calloc, 0x60300001c180[32]
Allocated = srcs/utils/ft_calloc.c, 23, ft_calloc, 0x60300001c1b0[32]
Allocated = srcs/utils/ft_calloc.c, 23, ft_calloc, 0x60300001c1e0[32]
Allocated = srcs/utils/ft_calloc.c, 23, ft_calloc, 0x60300001c210[32]
Allocated = srcs/t_image/ft_read_xpm.c, 28, ft_read_xpm, 0x60400002d6d0[48]
Allocated = srcs/utils/ft_list.c, 19, new_node, 0x602000008570[16]
Allocated = srcs/sprite/ft_generate_sprites_array.c, 65, ft_generate_sprites_array_grid, 0x60400002d750[48]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001c390[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001c3c0[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001c3f0[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001c420[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001c450[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001c480[24]
Allocated = srcs/sprite/ft_init_animated_sprite.c, 22, ft_init_animated_sprite, 0x60300001c4b0[24]
Allocated = srcs/utils/ft_list.c, 19, new_node, 0x602000008590[16]
Allocated = srcs/t_image/ft_read_xpm.c, 28, ft_read_xpm, 0x60400002d790[48]
Allocated = srcs/utils/ft_list.c, 19, new_node, 0x6020000085b0[16]
Allocated = srcs/sprite/ft_generate_sprites_array.c, 65, ft_generate_sprites_array_grid, 0x60400002d810[48]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001c630[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001c660[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001c690[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001c6c0[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001c6f0[24]
Allocated = srcs/sprite/ft_init_sprite.c, 21, ft_init_sprite, 0x60300001c720[24]
